provider_type,state,total_patients,medical_payment
Ophthalmology,PA,1034,360072.94
Nurse Practitioner,NV,294,57204.21
Infectious Disease,WI,27,
Nurse Practitioner,FL,72,4764.81
Nurse Practitioner,IN,142,26781.39
Psychiatry,KY,62,7021.44
Psychiatry,PA,32,4875.07
Physical Therapist in Private Practice,NY,21,8644.74
Emergency Medicine,PA,446,42756.16
Nurse Practitioner,FL,115,32198.35
Family Practice,CA,308,18223.88
Emergency Medicine,SC,779,
Internal Medicine,CA,225,1643743.4
Occupational Therapist in Private Practice,OK,42,22109.05
Nurse Practitioner,NY,16,1645.29
Anesthesiology,TX,238,92518.39
Certified Registered Nurse Anesthetist (CRNA),MN,153,17969.43
Hospitalist,NY,195,41541.49
Physician Assistant,TX,186,28338.45
"Psychologist, Clinical",TX,11,40203.41
Pain Management,CT,60,6809.23
Physician Assistant,MI,192,16141.35
Obstetrics & Gynecology,MN,13,1153.65
Audiologist,WA,140,4671.42
Ophthalmology,SC,1154,
Internal Medicine,CA,152,147864.07
Nurse Practitioner,MN,130,42133.95
Audiologist,MN,44,1620.36
Nurse Practitioner,WI,23,1921.8
Licensed Clinical Social Worker,MA,11,7636.64
Physical Therapist in Private Practice,CO,40,56948.18
Physical Therapist in Private Practice,MD,106,58545.35
Anesthesiology Assistant,GA,57,5195.43
Hospitalist,WI,444,106200.72
Physician Assistant,MI,96,13976.36
Physical Therapist in Private Practice,NJ,138,74214.81
Certified Registered Nurse Anesthetist (CRNA),ID,101,19785.57
Internal Medicine,NC,25,5211.85
Nurse Practitioner,AR,107,8025.32
Emergency Medicine,OR,162,21609.71
Physical Therapist in Private Practice,UT,87,73664.64
Hospice and Palliative Care,KY,86,18046.81
Nurse Practitioner,AZ,30,
Nurse Practitioner,NY,168,54531.04
Nurse Practitioner,FL,56,4861.58
Chiropractic,PA,36,7749.71
Podiatry,NY,189,29587.84
Licensed Clinical Social Worker,PA,12,7922.8
Diagnostic Radiology,OK,2648,116963.94
Registered Dietitian or Nutrition Professional,PA,70,8617.52
Physician Assistant,IL,139,10547.61
Nurse Practitioner,IN,13,405.28
Internal Medicine,NJ,341,88614.64
Podiatry,FL,45,5253.86
Physician Assistant,IN,17,
Gastroenterology,MD,462,106158.37
Interventional Cardiology,NY,1469,321402.91
Nurse Practitioner,IN,97,10131.37
Internal Medicine,TN,445,175711.47
Thoracic Surgery,UT,160,107016.71
Family Practice,WI,94,
Physician Assistant,CT,94,8441
Diagnostic Radiology,PA,1440,
Neurosurgery,OR,95,52434.37
Urology,NC,890,145493.19
Neurology,PA,299,57796.5
Certified Registered Nurse Anesthetist (CRNA),PA,41,4072.94
Neurology,NY,270,124631
Neurology,MA,179,34398.91
Physical Therapist in Private Practice,OR,64,28819.65
Family Practice,MD,295,73168.54
Obstetrics & Gynecology,VA,190,
Internal Medicine,VA,283,38626.75
Nurse Practitioner,WA,450,43663.55
Anesthesiology,MA,185,22772.91
Family Practice,DE,293,65044.39
Nurse Practitioner,TN,29,7164.03
Chiropractic,AK,107,32237.76
Internal Medicine,CA,254,44979.42
Family Practice,NY,121,32042.03
Family Practice,MS,218,88081.57
Nurse Practitioner,AZ,138,
Emergency Medicine,NJ,585,90099.18
Internal Medicine,OR,230,41478.06
Hospitalist,KS,381,114101.34
Certified Registered Nurse Anesthetist (CRNA),OH,123,26114.45
Internal Medicine,AZ,133,34055.63
Optometry,CA,69,5804.05
Optometry,DC,23,3202.93
Cardiology,TN,826,25466.13
Physical Therapist in Private Practice,FL,28,5984.77
Thoracic Surgery,CA,105,45961.35
Nephrology,AZ,109,
Otolaryngology,NY,509,89209.17
Internal Medicine,MA,213,36016.3
Gastroenterology,WA,255,57940.84
Critical Care (Intensivists),CA,42,14705.88
General Surgery,AL,37,9798.26
Physical Therapist in Private Practice,WI,39,17988.32
Anesthesiology,NY,18,7432.3
Nurse Practitioner,IN,13,674.06
Rheumatology,MA,765,65791.12
Psychiatry,DC,80,41011.96
Physical Therapist in Private Practice,FL,39,28048.87
Allergy/ Immunology,IN,390,
Orthopedic Surgery,TX,85,25458.15
Thoracic Surgery,CO,190,154752.87
Dermatology,NJ,551,124999.28
Urology,CA,22,4631.93
Critical Care (Intensivists),IL,120,30542.97
Family Practice,CO,129,28672.11
Nurse Practitioner,VA,476,214259.2
Ophthalmology,TX,617,258674.39
Diagnostic Radiology,UT,664,47088.84
Physician Assistant,OH,238,58782.28
Anesthesiology,NY,167,12860.61
Orthopedic Surgery,FL,364,121906.9
Emergency Medicine,IL,130,18956.26
Nurse Practitioner,GA,208,24781.56
Neurosurgery,AR,61,12827.63
Family Practice,TX,84,23683.3
Nurse Practitioner,CA,105,
Physical Therapist in Private Practice,WI,65,34454.84
Physician Assistant,MI,276,53223.34
Physical Medicine and Rehabilitation,PA,352,192395.34
Nurse Practitioner,OH,74,6729.68
General Surgery,OH,170,60223.51
Cardiology,MA,1578,175045.38
Internal Medicine,CO,556,70076.33
Internal Medicine,NJ,219,68777.02
Dermatology,IL,571,132697.43
Family Practice,TX,34,3300
Nurse Practitioner,TN,143,14715.48
Physical Therapist in Private Practice,WA,24,6739.92
General Surgery,PA,343,60090.17
Certified Registered Nurse Anesthetist (CRNA),PA,65,8110.14
Gastroenterology,NC,230,45319.28
Physical Therapist in Private Practice,AZ,33,16990.64
Family Practice,GA,693,211608.74
Internal Medicine,WI,190,17763.92
Hospitalist,WA,344,66231.48
Nurse Practitioner,GA,268,29901.47
Podiatry,WA,140,44163.36
Orthopedic Surgery,GA,502,217191.92
Nurse Practitioner,IA,264,30277.75
Certified Registered Nurse Anesthetist (CRNA),LA,206,23267.04
General Surgery,SD,153,35008.11
Infectious Disease,KS,41,13724.8
Internal Medicine,WI,125,22397.53
Nurse Practitioner,FL,45,12422.93
Nurse Practitioner,OH,385,17737
Pathology,FL,1363,221603.01
Pathology,CA,16,1072.8
Nurse Practitioner,LA,250,37140.1
Podiatry,NY,129,26179.88
Nurse Practitioner,CA,153,
Optometry,WI,151,12808.29
Family Practice,KY,113,9996.59
Family Practice,PA,31,3767.02
Endocrinology,MN,451,37324.41
Family Practice,CA,16,
Podiatry,FL,393,106729.39
Interventional Pain Management,MD,660,
Emergency Medicine,CA,416,61167.46
Emergency Medicine,GA,931,152525.51
Infectious Disease,CA,255,88491.27
Family Practice,DE,837,201608.1
Dermatology,WI,229,25224.53
Internal Medicine,IL,25,3720.69
Internal Medicine,AL,322,38374.92
Internal Medicine,CA,42,5041.34
Family Practice,NV,322,108172.48
Interventional Pain Management,FL,43,79305.97
Psychiatry,CA,11,2376.01
Orthopedic Surgery,FL,686,250084.38
Physician Assistant,MI,29,5365.63
Anesthesiology,OH,34,9159.85
Nurse Practitioner,FL,904,167101.98
Optometry,CT,62,6367.28
Radiation Oncology,CA,165,99097.7
Certified Registered Nurse Anesthetist (CRNA),OH,169,26331.17
Nurse Practitioner,NJ,78,8523.5
Physician Assistant,MD,199,29756.54
Advanced Heart Failure and Transplant Cardiology,OH,823,88148.81
General Surgery,TX,26,9955.14
Anesthesiology,CA,50,7646.65
Physical Therapist in Private Practice,IL,26,5662.56
Anesthesiology,AZ,123,20984.34
Physical Therapist in Private Practice,TN,45,8612.55
Internal Medicine,MD,496,133596.76
Emergency Medicine,CA,854,134611.61
Internal Medicine,NJ,347,94359.91
Nurse Practitioner,KS,127,
Physical Therapist in Private Practice,KS,72,59100.93
Nurse Practitioner,KS,225,19137.36
Physical Therapist in Private Practice,TX,208,101105.64
Endocrinology,NY,260,66788.65
Certified Registered Nurse Anesthetist (CRNA),KY,377,32270.16
Nurse Practitioner,MA,219,44299.85
Chiropractic,WI,44,5956.15
Family Practice,TX,96,
Family Practice,OH,155,44361.98
Chiropractic,WA,17,7621.05
Nurse Practitioner,OH,12,1970.26
Nurse Practitioner,TN,24,1191.32
Hospitalist,CA,57,19556.92
Internal Medicine,OH,553,182893.54
Physician Assistant,OH,51,
Obstetrics & Gynecology,PA,44,3830.01
Podiatry,OH,405,
Neurology,MD,75,11986.41
Family Practice,WA,108,
Interventional Cardiology,OK,1510,
Emergency Medicine,WI,221,20820.28
Hospitalist,FL,128,15527.51
Anesthesiology,NY,282,36831.21
Physician Assistant,PA,157,17920.44
Emergency Medicine,CO,133,10786.48
Physical Medicine and Rehabilitation,ME,250,26548.22
Family Practice,TN,464,115650.52
Hospitalist,NC,269,49348.23
Neurology,NJ,265,72037.22
Dermatology,RI,1598,144287.28
Optometry,NJ,305,32071.78
Emergency Medicine,KS,510,64562.04
Gastroenterology,TX,115,16980.03
Ophthalmology,WV,193,12671.08
Physical Therapist in Private Practice,IL,196,39167.28
Nurse Practitioner,TX,26,2133.35
Infectious Disease,CA,646,328554.75
Family Practice,GA,226,74403.74
General Surgery,IA,33,15198.98
Family Practice,NM,43,
Nurse Practitioner,NY,41,1998.66
General Surgery,TX,146,53263.84
Hospitalist,ME,162,37536.52
Physical Therapist in Private Practice,TN,70,30956.78
Physical Therapist in Private Practice,VA,75,25952.04
Dermatology,FL,741,110321.57
Internal Medicine,MD,1065,259579.14
Nurse Practitioner,GA,156,47814.58
Plastic and Reconstructive Surgery,NJ,33,651000.39
Certified Registered Nurse Anesthetist (CRNA),WI,256,24506.3
General Practice,AZ,552,105678.51
Physician Assistant,IL,27,2456.06
Nurse Practitioner,PA,159,
Certified Registered Nurse Anesthetist (CRNA),IL,60,7612.12
Nephrology,TX,111,
Hematology-Oncology,WI,27,3589.15
Nurse Practitioner,OH,130,5660.77
Physician Assistant,CO,31,4503.56
Physician Assistant,FL,473,
Nurse Practitioner,MS,369,66053.41
Emergency Medicine,NY,66,7741.83
Cardiac Surgery,TX,190,175512.7
Emergency Medicine,MA,153,15866.57
Physician Assistant,KS,64,6803.29
Family Practice,PA,78,6855.05
Orthopedic Surgery,IL,156,211054.39
Internal Medicine,CO,163,24723.48
Interventional Cardiology,NV,1284,1052473.53
Endocrinology,CA,370,714871.49
Speech Language Pathologist,TX,17,3726.63
Nurse Practitioner,MA,105,16548.36
Optometry,WA,730,49803.84
Anesthesiology,FL,109,8978.5
Medical Oncology,VA,216,61920.05
Urology,SC,1460,355259.14
Family Practice,IL,618,
Advanced Heart Failure and Transplant Cardiology,IA,304,58088.4
Physician Assistant,NY,431,
Rheumatology,FL,64,13195
Orthopedic Surgery,FL,92,73569.66
Ophthalmology,NC,416,127932.25
Certified Registered Nurse Anesthetist (CRNA),PA,250,17907.76
Obstetrics & Gynecology,NE,27,2348.49
Chiropractic,PA,21,2492.28
Emergency Medicine,PA,74,9129.16
Emergency Medicine,VA,320,39962.01
Physician Assistant,IN,54,5137.17
Optometry,ND,445,31745.76
Nurse Practitioner,NV,113,15456.47
Colorectal Surgery (Proctology),LA,40,17961.91
Optometry,IN,33,2431.02
Family Practice,FL,104,78382.12
Physician Assistant,UT,58,
Family Practice,VA,383,112886.34
Nephrology,WA,165,41115.8
Nurse Practitioner,NC,92,21013.11
Internal Medicine,MI,71,12569.34
Nurse Practitioner,TX,23,1536.73
Anesthesiology,NH,137,14894.8
Otolaryngology,TN,385,92588.11
Vascular Surgery,MI,35,33378.49
Emergency Medicine,OH,266,28158.44
Optometry,MO,69,6612.17
Anesthesiology,MD,387,49578.95
Hospitalist,ND,257,49273.91
Physical Medicine and Rehabilitation,NY,11,1124.39
Thoracic Surgery,NJ,129,46792.17
Family Practice,IN,101,21218.26
Physician Assistant,VA,211,17060.52
Psychiatry,NC,29,2679.05
Otolaryngology,TN,190,163030.6
Nurse Practitioner,IL,46,13325.83
Family Practice,NY,36,41304.96
Certified Registered Nurse Anesthetist (CRNA),TN,30,2465.86
Family Practice,MO,181,38348.35
Nurse Practitioner,IN,99,27921.56
Endocrinology,NJ,209,134383.76
Physical Therapist in Private Practice,VA,64,24700.43
Nurse Practitioner,MA,15,827.87
Preventive Medicine,AZ,28,
Nurse Practitioner,NY,58,5235.7
Neurology,IN,40,4349.06
Diagnostic Radiology,WI,342,
Audiologist,OH,166,9887.43
Gastroenterology,CO,86,12697.03
Physician Assistant,CA,62,
General Surgery,CA,54,19336.42
Obstetrics & Gynecology,WI,17,1438.81
Emergency Medicine,VA,267,35104.87
Anesthesiology,CA,79,13170.01
Internal Medicine,MN,80,19160.71
Cardiology,PA,310,10859.73
Nurse Practitioner,AL,114,7382.76
Physical Therapist in Private Practice,NJ,165,258120.36
Vascular Surgery,CA,226,151593.82
Internal Medicine,FL,1226,
Family Practice,NC,139,
Anesthesiology,IL,53,10540.54
Rheumatology,MA,234,27229.38
Allergy/ Immunology,NY,21,4972.73
Physician Assistant,PA,37,4702.68
Obstetrics & Gynecology,NM,22,2760.27
Gastroenterology,MN,95,13824.39
Physician Assistant,TN,1031,158403.48
Plastic and Reconstructive Surgery,NY,29,22395.32
Internal Medicine,NY,593,242417.57
Hospice and Palliative Care,TX,134,53830.53
Nurse Practitioner,OH,308,23152.88
Internal Medicine,CA,145,
Physician Assistant,OH,22,1700.61
Physician Assistant,CA,12,5278.93
Chiropractic,NC,17,2050.57
Family Practice,TX,134,30962.46
Physician Assistant,FL,159,17457.24
Radiation Oncology,MI,130,86609.32
Internal Medicine,OH,175,39375.14
Occupational Therapist in Private Practice,OH,56,49030.1
Certified Registered Nurse Anesthetist (CRNA),UT,25,2319.1
Nurse Practitioner,GA,415,55446.27
Anesthesiology,OH,160,25563.86
Hospitalist,TX,184,40893.03
Emergency Medicine,AZ,158,20645.33
Emergency Medicine,AL,171,21234.58
Optometry,NJ,57,5342.41
Urology,NY,294,53088.59
Internal Medicine,OH,96,7961.35
Cardiology,SD,2050,112416.2
Nurse Practitioner,FL,19,1709.5
Anesthesiology,MA,266,22774.19
Internal Medicine,AL,16,3775.75
Hospitalist,ME,210,53625.88
Internal Medicine,NJ,107,26498.51
Licensed Clinical Social Worker,IL,23,15466.19
Internal Medicine,FL,233,49006.97
Family Practice,ME,22,1823.97
Occupational Therapist in Private Practice,OH,171,29432.21
Internal Medicine,IL,26,3298.01
Family Practice,IA,103,13420.22
Physical Therapist in Private Practice,FL,463,138016.87
Audiologist,MA,11,436.38
Interventional Cardiology,UT,1332,107758.7
Internal Medicine,TX,175,55272.71
Physician Assistant,OK,17,899.91
Internal Medicine,TN,173,46005.69
Family Practice,CA,63,
Nurse Practitioner,NY,16,577.28
Nurse Practitioner,MA,105,
Nurse Practitioner,TN,78,9180.36
Nurse Practitioner,GA,16,2624.34
Internal Medicine,SC,316,99673.83
Podiatry,OH,41,9568.22
Physical Therapist in Private Practice,MI,11,2660.49
Allergy/ Immunology,MI,38,6190.78
Nurse Practitioner,TX,46,
Occupational Therapist in Private Practice,ID,34,65209.07
Internal Medicine,WI,482,118759.85
Nurse Practitioner,GA,156,14329.19
Neurology,DE,297,37980.94
Nurse Practitioner,GA,239,22304.07
Internal Medicine,TX,160,39098.15
Orthopedic Surgery,OR,157,79628.08
Cardiology,FL,358,171458.85
Critical Care (Intensivists),OH,194,30034.25
Physical Therapist in Private Practice,PA,45,79492.45
Anesthesiology,MA,193,26743.4
Emergency Medicine,VT,519,64731.37
Emergency Medicine,MI,173,19335.54
Family Practice,OK,26,3190.61
Colorectal Surgery (Proctology),NY,98,31221.21
Medical Oncology,CO,204,34565.86
Internal Medicine,KS,163,20109.18
Internal Medicine,CA,152,188377.6
Plastic and Reconstructive Surgery,MI,250,85059.34
Optometry,CA,3294,402206.66
Dermatology,OK,871,197540.69
Podiatry,TN,602,140166.43
Rheumatology,CA,142,31707.87
Physician Assistant,MI,119,24745.31
Chiropractic,MA,21,4387.72
Neurosurgery,NY,846,165675.11
Internal Medicine,CO,1406,89294.94
Nurse Practitioner,FL,322,35079.35
Anesthesiology,NY,88,10576.39
Emergency Medicine,VA,174,15284.9
Neurology,AZ,422,96626.65
Nurse Practitioner,MO,107,5102.34
Internal Medicine,MA,361,129630.22
Diagnostic Radiology,NM,1588,115357.27
"Psychologist, Clinical",KS,12,4611.97
Neurology,NY,809,170855.67
General Surgery,ND,150,42451.6
Optometry,CT,18,1989.23
Family Practice,ID,116,25668.07
Nurse Practitioner,OH,169,23633.1
Physician Assistant,CO,15,2615.25
Nurse Practitioner,FL,86,3791.95
Nurse Practitioner,MN,120,14250.89
Urology,NJ,907,295924.22
Nurse Practitioner,MA,65,
Gastroenterology,PA,92,18312.01
Diagnostic Radiology,NY,504,51418.79
Anesthesiology,NY,165,16071.84
Certified Registered Nurse Anesthetist (CRNA),OH,544,62350.8
Pathology,PA,417,38239.14
Physician Assistant,DE,619,86373.25
Optometry,TN,150,15106.9
Physical Therapist in Private Practice,SC,18,10028.34
Nurse Practitioner,ID,87,7264.06
Physician Assistant,NC,114,16089.97
Nurse Practitioner,TX,323,
Certified Registered Nurse Anesthetist (CRNA),IL,146,21083.24
Gastroenterology,TX,219,
Physician Assistant,PA,97,5812.13
Nurse Practitioner,MA,14,22275.26
Nurse Practitioner,KY,98,11548.22
Certified Registered Nurse Anesthetist (CRNA),TX,74,15292.71
Family Practice,TX,99,20823.24
Nurse Practitioner,NV,95,7066.47
Audiologist,NC,206,9372.63
Internal Medicine,VA,95,21940.84
Obstetrics & Gynecology,NJ,178,15951.86
Physician Assistant,NC,319,49163.43
Family Practice,GA,71,10231.83
Nurse Practitioner,AZ,280,50519.3
Nurse Practitioner,KY,439,38020.99
Nurse Practitioner,TN,115,28102.94
Nurse Practitioner,AL,32,1820.79
Physical Medicine and Rehabilitation,FL,66,
Ophthalmology,CA,1909,557314.69
Diagnostic Radiology,PA,1084,61219.73
Internal Medicine,CA,158,49906.41
Certified Registered Nurse Anesthetist (CRNA),OH,136,14663.4
Nurse Practitioner,CA,122,16898.75
Licensed Clinical Social Worker,PA,14,4068.03
Podiatry,IL,350,78894.85
Nurse Practitioner,FL,238,8232.57
Nurse Practitioner,OH,149,16854.53
Internal Medicine,MN,163,46396.61
Certified Registered Nurse Anesthetist (CRNA),UT,61,13438.83
Obstetrics & Gynecology,CA,26,4704.3
Internal Medicine,MA,103,19436.64
Chiropractic,NY,41,10041.37
Nurse Practitioner,IL,169,16367.62
Nurse Practitioner,FL,136,
Physician Assistant,NY,99,
Nurse Practitioner,KY,50,
Nurse Practitioner,MO,105,107209.46
Nurse Practitioner,OH,32,7085.9
Certified Registered Nurse Anesthetist (CRNA),MI,33,4056.14
Certified Registered Nurse Anesthetist (CRNA),WI,45,4423.26
Pulmonary Disease,MO,743,154908
Physical Therapist in Private Practice,FL,32,68558.91
General Surgery,CA,81,81267.99
Internal Medicine,NY,16,30942.09
Nurse Practitioner,MD,76,31155.57
Family Practice,SC,87,
Occupational Therapist in Private Practice,GA,17,8666.65
Emergency Medicine,IA,442,52359.04
Nurse Practitioner,MS,13,958.86
Nurse Practitioner,TX,18,3255.68
Family Practice,CA,11,
Internal Medicine,TX,391,80585.43
Cardiac Surgery,NC,135,123766.79
Obstetrics & Gynecology,GA,14,6108.59
Physician Assistant,VA,127,33909.29
Internal Medicine,GA,100,24824.92
Diagnostic Radiology,WA,367,13016.36
Physician Assistant,ME,87,3785.66
Pathology,AZ,619,62260.43
Chiropractic,NY,116,29506.92
Anesthesiology Assistant,GA,68,6754.79
Internal Medicine,NY,382,116961.97
Nurse Practitioner,WA,21,4751.87
Nephrology,CO,478,151001.25
Diagnostic Radiology,NJ,1573,
Emergency Medicine,MA,506,56581.76
Certified Registered Nurse Anesthetist (CRNA),VA,78,6375.89
Endocrinology,OH,189,22242.96
Allergy/ Immunology,CA,170,97797.09
Diagnostic Radiology,MA,1709,137604.19
Nurse Practitioner,TN,142,
Physical Therapist in Private Practice,OR,107,87969.74
Internal Medicine,MA,32,6835.9
Family Practice,CA,103,22147
Hospitalist,WI,201,26139.14
Osteopathic Manipulative Medicine,FL,397,256410.83
Nurse Practitioner,WA,76,7782.42
Nephrology,WA,29,8495.36
Nurse Practitioner,MA,46,4357.58
Diagnostic Radiology,PA,1856,59432.09
Optometry,IL,118,8931.12
Family Practice,PA,84,21839.33
Nurse Practitioner,MI,85,14098.24
Family Practice,KY,206,71397.24
Family Practice,MO,158,31106.5
Emergency Medicine,CA,407,52865.7
Obstetrics & Gynecology,PA,34,11766.23
Certified Nurse Midwife,MA,23,931.61
Internal Medicine,MS,32,2960.8
Chiropractic,TN,101,14649.48
Physician Assistant,NC,87,9426.76
Pathology,PA,214,13524.49
Nurse Practitioner,UT,58,7167
Nurse Practitioner,NC,262,34335.75
Family Practice,WV,317,
Otolaryngology,TX,217,20511.55
Thoracic Surgery,NY,328,240776.07
Cardiology,CA,501,171556.6
Anesthesiology,NM,38,6256.15
Orthopedic Surgery,MS,129,
Emergency Medicine,WI,142,16279.02
Nurse Practitioner,KS,410,77354.62
Optometry,IN,402,35192.8
Neurosurgery,MA,244,325441.02
Hospitalist,WA,405,107888.64
"Psychologist, Clinical",IN,14,1701.78
Certified Registered Nurse Anesthetist (CRNA),TN,95,9421.35
Interventional Pain Management,TX,320,485452.47
Diagnostic Radiology,SC,2899,131085.82
Physical Therapist in Private Practice,FL,22,17552.95
Licensed Clinical Social Worker,IL,33,3344.31
Anesthesiology,MN,150,36715.45
Diagnostic Radiology,CA,1288,72417.37
Optometry,VA,85,7779
Nurse Practitioner,NM,85,5197.85
